cc_num,category,amt
349612764943496,grocery,93.78
4922710831011201,misc,3.43
3547560454237873,misc,1.14
5559857416065248,shopping,511.09
213126662687660,misc,7.77
3577578023716568,grocery,68.07
374125201044065,misc,208.08
30074693890476,grocery,208.58
3534093764340240,shopping,9.46
4922710831011201,shopping,1.91
377234009633447,grocery,129.06
2235613922823698,misc,6.0
630441765090,gas_transport,55.81
30487648872433,misc,2.73
30404291151692,gas_transport,51.75
5559857416065248,gas_transport,69.64
4512828414983801773,grocery,124.7
4981132848794,shopping,4.58
630423337322,gas_transport,61.39
4599735407877245080,entertainment,9.11
4469777115158234880,grocery,47.33
30074693890476,misc,494.16
6011860238257910,misc,217.59
2248735346244816,shopping,321.15
5456776410929288,shopping,30.86
4716561796955522,gas_transport,68.47
6011860238257910,shopping,10.09
6011893664860915,grocery,199.55
630423337322,gas_transport,94.48
6011860238257910,grocery,168.42
4509142395811241,misc,1636.87
4423489490781412,misc,6.7
213126662687660,grocery,65.52
2348245054386329,entertainment,1.9
4512828414983801773,gas_transport,56.5
6011492816282597,gas_transport,77.02
4481131401752,gas_transport,61.41
2348245054386329,entertainment,16.08
3518758680062249,grocery,60.65
375534208663984,shopping,127.09
180094608895855,gas_transport,77.83
30404291151692,misc,508.59
6011893664860915,gas_transport,91.22
376028110684021,gas_transport,68.85
2720433095629877,gas_transport,51.44
4509142395811241,grocery,134.75
3547560454237873,gas_transport,40.03
3536918668124647,shopping,3.54
3536918668124647,gas_transport,49.47
4428780983793657331,gas_transport,90.06
3502088871723054,grocery,86.24
5456776410929288,grocery,115.3
6011999606625827,grocery,101.95
3547560454237873,shopping,4.62
4599735407877245080,shopping,2.18
341283058448499,shopping,8.07
2248735346244816,gas_transport,55.78
3558881852140592,misc,77.04
4428780983793657331,misc,107.16
3514865930894695,misc,17.21
571465035400,misc,31.98
3514865930894695,gas_transport,47.08
4265776278887457,misc,1047.52
4642255475285942,gas_transport,72.18
2305336922781618,grocery,133.75
3501509250702469,misc,79.88
2720433095629877,grocery,53.28
180067784565096,misc,1.7
213112402583773,gas_transport,58.78
30273037698427,grocery,36.52
3518758680062249,misc,1.63
4149238353975790,grocery,97.74
3558881852140592,shopping,5.74
4149238353975790,grocery,85.35
180094608895855,grocery,120.69
4599735407877245080,grocery,112.11
213178850083780,grocery,47.54
213126662687660,grocery,49.12
4149238353975790,grocery,94.37
3553629419254918,gas_transport,45.95
630441765090,grocery,147.49
180048185037117,gas_transport,64.71
30074693890476,grocery,79.26
3592325941359225,misc,210.36
377234009633447,gas_transport,47.89
4469777115158234880,grocery,42.04
341283058448499,shopping,1.6
180067784565096,misc,94.67
377234009633447,gas_transport,73.28
343464013864032,grocery,109.31
3501509250702469,personal_care,8.79
4716561796955522,health_fitness,7.01
4469777115158234880,travel,7.1
376028110684021,kids_pets,47.96
213126662687660,misc,7.95
676372984911,shopping,7.61
6011893664860915,health_fitness,19.03
4265776278887457,home,48.23
30487648872433,travel,5.09
3553629419254918,shopping,8.38
6011999606625827,personal_care,7.93
3502088871723054,home,104.92
5559857416065248,personal_care,88.7
341283058448499,food_dining,3.64
60495593109,kids_pets,20.29
4956828990005111019,food_dining,4.07
2720433095629877,misc,1.6
571465035400,health_fitness,72.61
6511349151405438,health_fitness,16.99
4981132848794,entertainment,1.42
4334230547694630,kids_pets,44.21
60495593109,home,67.19
4716561796955522,shopping,2.55
3547560454237873,food_dining,45.19
571365235126,health_fitness,177.82
4716561796955522,kids_pets,73.46
213178850083780,entertainment,81.67
3558881852140592,entertainment,57.26
376028110684021,health_fitness,77.51
3501509250702469,personal_care,5.93
6534628260579800,misc,5.61
571465035400,kids_pets,47.51
30561214688470,home,1.27
4198470814557,personal_care,45.85
6011893664860915,health_fitness,12.89
3518758680062249,misc,52.34
571465035400,personal_care,73.32
4642894980163,food_dining,6.98
2712209726293386,shopping,23.25
676372984911,health_fitness,74.89
3553629419254918,misc,8.52
4512828414983801773,kids_pets,65.96
3568736585751727,food_dining,53.57
30273037698427,entertainment,75.65
676372984911,kids_pets,27.55
3583793405872580,health_fitness,41.95
4509142395811241,personal_care,192.65
4642255475285942,shopping,9.62
3547560454237873,personal_care,26.77
3518234918950662,entertainment,93.89
6011999606625827,home,181.45
180042946491150,shopping,3.09
3518758680062249,misc,427.99
639046421587,health_fitness,76.7
3514865930894695,food_dining,50.74
3518758680062249,food_dining,36.6
4666314527820883145,entertainment,74.63
6011492816282597,health_fitness,39.8
4683520018489354,shopping,3.82
2720433095629877,food_dining,71.36
213112402583773,shopping,7.46
3577578023716568,personal_care,101.52
4265776278887457,personal_care,16.32
343464013864032,personal_care,9.39
6011893664860915,health_fitness,101.77
5559857416065248,entertainment,78.51
3598215285024754,personal_care,29.27
4642894980163,shopping,7.11
4198470814557,home,18.13
30074693890476,kids_pets,32.23
3502088871723054,misc,7.95
4423489490781412,entertainment,20.84
180067784565096,food_dining,22.83
630423337322,kids_pets,92.48
2305336922781618,personal_care,6.29
676372984911,kids_pets,56.58
180042946491150,shopping,2.76
4509142395811241,entertainment,3.43
4481131401752,health_fitness,118.71
4683520018489354,entertainment,77.85
180042946491150,health_fitness,125.91
3598215285024754,personal_care,44.09
2720433095629877,shopping,5.23
3502088871723054,health_fitness,52.36
213193596103206,health_fitness,74.62
343464013864032,home,47.79
2305336922781618,entertainment,67.13
571365235126,shopping,3.89
676372984911,food_dining,20.46
5456776410929288,personal_care,71.84
4512828414983801773,kids_pets,10.24
180067784565096,kids_pets,191.18
6011860238257910,kids_pets,77.21
6011360759745864,kids_pets,52.54
630423337322,misc,1.93
3583793405872580,entertainment,23.77
2712209726293386,shopping,31.09
6011893664860915,shopping,411.05
2235613922823698,home,49.92
2703186189652095,kids_pets,114.79
2305336922781618,entertainment,6.95
6011492816282597,home,36.53
6011893664860915,food_dining,50.61
213141712584544,food_dining,49.27
2356276337669917,shopping,9.83
630423337322,shopping,9.07
2248735346244816,kids_pets,66.94
213126662687660,health_fitness,97.63
4666314527820883145,kids_pets,51.55
2266735643685262,shopping,8.28
3501509250702469,home,24.95
4149238353975790,travel,413.17
571365235126,health_fitness,53.32
571465035400,health_fitness,72.97
180042946491150,food_dining,25.98
374930071163758,entertainment,49.15
213141712584544,personal_care,30.42
6534628260579800,shopping,7.42
6011893664860915,food_dining,20.2
2712209726293386,food_dining,58.91
4149238353975790,health_fitness,75.21
3518234918950662,personal_care,45.24
180042946491150,misc,99.24
4225990116481262579,kids_pets,37.06
180042946491150,health_fitness,12.7
6534628260579800,misc,6.85
4149238353975790,home,76.36
376028110684021,travel,461.28
2348245054386329,home,23.05
2235613922823698,entertainment,30.22
6011999606625827,home,200.48
6534628260579800,kids_pets,98.6
213112402583773,personal_care,73.84
2712209726293386,food_dining,112.61
571465035400,kids_pets,48.81
6011492816282597,misc,48.28
213126662687660,misc,248.54
4509142395811241,health_fitness,34.81
3502088871723054,health_fitness,6.76
3518234918950662,food_dining,80.86
630423337322,personal_care,100.44
3518758680062249,health_fitness,49.75
377234009633447,food_dining,81.48
4642894980163,shopping,3.68
630423337322,misc,134.99
6511349151405438,kids_pets,154.47
213112402583773,personal_care,4.36
5559857416065248,personal_care,29.24
3583793405872580,personal_care,47.86
30561214688470,misc,3.76
5456776410929288,travel,2.1
4716561796955522,health_fitness,5.96
6011860238257910,personal_care,69.54
376028110684021,health_fitness,71.62
2720433095629877,shopping,7.35
3514865930894695,home,57.45
374125201044065,personal_care,16.19
4716561796955522,misc,3.15
4716561796955522,shopping,4.96
5456776410929288,food_dining,54.3
374930071163758,shopping,7.24
3577578023716568,home,34.75
6011893664860915,health_fitness,49.34
3598215285024754,shopping,83.98
4642894980163,food_dining,95.51
4599735407877245080,home,35.49
3577578023716568,food_dining,20.12
30561214688470,misc,3.04
6011360759745864,home,5.28
4481131401752,food_dining,4.19
6534628260579800,shopping,7.69
3518234918950662,kids_pets,27.69
2720433095629877,personal_care,4.44
630423337322,shopping,8.3
30404291151692,home,61.2
4198470814557,misc,32.51
4725837176265195730,kids_pets,96.82
571465035400,kids_pets,54.98
374930071163758,kids_pets,77.01
4110266553600176127,entertainment,18.55
571365235126,shopping,1.03
6011893664860915,health_fitness,29.92
376028110684021,health_fitness,73.34
6534628260579800,shopping,2.45
3514865930894695,kids_pets,21.39
213112402583773,home,24.65
4149238353975790,home,87.72
3568736585751727,kids_pets,47.79
4469777115158234880,shopping,1.58
3518758680062249,shopping,9.95
213141712584544,shopping,9.23
630423337322,entertainment,125.49
2266735643685262,food_dining,16.88
374125201044065,home,16.82
6011492816282597,shopping,6.63
213112402583773,home,58.83
6593250708747804,personal_care,11.79
2720433095629877,home,5.09
375534208663984,kids_pets,53.46
3598215285024754,food_dining,70.42
4642894980163,entertainment,44.97
30074693890476,shopping,268.31
2703186189652095,kids_pets,16.55
3568736585751727,entertainment,75.07
639046421587,entertainment,75.28
4642255475285942,misc,83.92
374930071163758,health_fitness,144.48
676372984911,misc,24.47
213141712584544,health_fitness,61.71
4110266553600176127,travel,2.48
2305336922781618,health_fitness,22.34
3518234918950662,entertainment,150.1
180048185037117,personal_care,22.3
30074693890476,shopping,6.18
676372984911,shopping,6.7
676372984911,grocery,104.18
4956828990005111019,gas_transport,65.66
4642255475285942,grocery,51.82
630441765090,gas_transport,43.56
213112402583773,misc,183.4
4642894980163,grocery,41.73
4225990116481262579,grocery,91.4
571365235126,gas_transport,40.87
6011893664860915,misc,207.83
3577578023716568,grocery,180.46
4683520018489354,grocery,49.23
349612764943496,misc,101.5
374930071163758,grocery,42.41
213193596103206,misc,24.82
3536918668124647,misc,6.4
6011893664860915,grocery,181.72
180067784565096,misc,59.64
3502088871723054,grocery,87.69
3565423334076143,gas_transport,78.75
377234009633447,grocery,102.09
4642894980163,grocery,43.87
2712209726293386,grocery,210.76
374125201044065,gas_transport,75.91
3592325941359225,shopping,2.19
639046421587,misc,106.01
5559857416065248,gas_transport,59.2
676372984911,misc,6.32
3514865930894695,misc,4.13
6011999606625827,grocery,114.7
2266735643685262,grocery,64.96
6511349151405438,grocery,112.46
3518758680062249,grocery,83.28
343464013864032,grocery,103.32
3518234918950662,grocery,184.64
5456776410929288,shopping,89.6
3547560454237873,misc,4.55
375534208663984,gas_transport,64.54
4642894980163,gas_transport,56.02
4334230547694630,grocery,105.84
4509142395811241,shopping,5.67
6011999606625827,misc,6.89
6011893664860915,misc,179.96
4956828990005111019,misc,4.15
4512828414983801773,home,58.39
2720433095629877,shopping,8.9
2356276337669917,home,39.91
3501509250702469,home,109.43
4789911625179723,health_fitness,153.41
375534208663984,personal_care,75.39
30404291151692,personal_care,28.27
30273037698427,entertainment,71.44
2235613922823698,health_fitness,60.64
6593250708747804,personal_care,72.67
630423337322,home,9.04
180048185037117,shopping,104.59
3514865930894695,home,54.29
6593250708747804,health_fitness,148.98
213112402583773,misc,6.26
213193596103206,kids_pets,49.43
3583793405872580,shopping,7.52
4512828414983801773,personal_care,1.86
4642894980163,shopping,3.17
180048185037117,personal_care,21.25
30561214688470,shopping,9.77
4469777115158234880,kids_pets,14.51
374930071163758,health_fitness,12.1
3568736585751727,health_fitness,77.64
3518234918950662,kids_pets,17.04
6011360759745864,home,35.23
3525668150756629,health_fitness,73.72
6511349151405438,entertainment,133.56
180048185037117,kids_pets,17.25
3547560454237873,home,19.1
5456776410929288,entertainment,22.0
2712209726293386,home,17.69
6534628260579800,personal_care,7.27
630423337322,shopping,9.55
4683520018489354,home,112.76
6511349151405438,personal_care,56.5
2720433095629877,shopping,6.11
30273037698427,entertainment,88.03
4642894980163,shopping,1.03
4707867759656333,home,136.83
5456776410929288,kids_pets,120.39
6011860238257910,entertainment,9.02
3598215285024754,health_fitness,78.38
5559857416065248,entertainment,2.49
4198470814557,health_fitness,7.48
30561214688470,misc,4.03
630423337322,entertainment,17.6
4707867759656333,health_fitness,73.13
630441765090,travel,2.81
630423337322,shopping,9.89
2305336922781618,home,17.1
571365235126,kids_pets,5.03
571465035400,health_fitness,76.64
4149238353975790,health_fitness,73.83
4642255475285942,shopping,5.66
3514865930894695,travel,7.61
341283058448499,entertainment,5.98
213141712584544,travel,3.35
2712209726293386,misc,219.22
213126662687660,food_dining,34.99
2720433095629877,home,27.38
2235613922823698,health_fitness,8.67
343464013864032,personal_care,34.88
4198470814557,home,9.46
630423337322,shopping,3.97
6593250708747804,kids_pets,11.35
3511058278399773,food_dining,45.38
4716561796955522,shopping,5.83
3501509250702469,shopping,10.1
180094608895855,home,42.8
3598215285024754,shopping,153.89
6511349151405438,kids_pets,30.01
2348245054386329,home,86.54
30404291151692,health_fitness,86.32
3583793405872580,shopping,6.89
180067784565096,home,11.95
3577578023716568,kids_pets,50.46
630423337322,misc,81.36
6011860238257910,kids_pets,91.87
2712209726293386,personal_care,9.84
374125201044065,personal_care,75.95
4469777115158234880,travel,4.43
376028110684021,kids_pets,52.93
2235613922823698,shopping,9.53
3553629419254918,home,35.23
30487648872433,food_dining,34.19
4725837176265195730,shopping,218.07
374930071163758,home,47.31
377234009633447,personal_care,46.8
30074693890476,entertainment,83.88
3553629419254918,misc,88.7
3583793405872580,personal_care,33.38
4149238353975790,kids_pets,44.6
4423489490781412,personal_care,1.42
4512828414983801773,entertainment,159.94
2235613922823698,health_fitness,11.67
3577578023716568,personal_care,41.73
213141712584544,home,85.49
3536918668124647,home,59.79
4707867759656333,kids_pets,3.7
4981132848794,kids_pets,40.9
630423337322,food_dining,23.71
180048185037117,shopping,112.39
3501509250702469,home,41.35
4642255475285942,gas_transport,58.93
213178850083780,grocery,41.51
2356276337669917,misc,27.14
4767265376804500,shopping,1.37
630441765090,grocery,148.63
4789911625179723,grocery,204.56
6011492816282597,grocery,68.14
6011860238257910,misc,5.91
4509142395811241,misc,3.49
2703186189652095,misc,27.7
3583793405872580,grocery,113.8
2712209726293386,grocery,172.45
3568736585751727,shopping,144.99
376028110684021,gas_transport,74.27
349612764943496,grocery,105.04
3511058278399773,misc,69.32
3598215285024754,grocery,205.11
2348245054386329,misc,3.6
5456776410929288,entertainment,20.8
4334230547694630,gas_transport,93.89
2266735643685262,gas_transport,85.87
3592325941359225,grocery,133.63
4260059589824237,gas_transport,63.91
3502088871723054,grocery,66.54
377234009633447,grocery,138.96
4481131401752,grocery,61.25
3553629419254918,misc,9.44
2266735643685262,gas_transport,49.57
3514865930894695,misc,25.88
571365235126,gas_transport,36.45
2348245054386329,gas_transport,70.27
213193596103206,shopping,77.15
6011893664860915,grocery,56.99
6593250708747804,grocery,195.23
639046421587,shopping,103.39
4642894980163,gas_transport,51.95
4725837176265195730,misc,45.7
213112402583773,grocery,103.46
4512828414983801773,gas_transport,67.75
630441765090,shopping,2.31
3525668150756629,misc,32.39
374125201044065,shopping,6.45
6511349151405438,grocery,138.01
376028110684021,misc,116.26
30561214688470,grocery,98.22
4198470814557,gas_transport,68.63
630441765090,grocery,76.27
4512828414983801773,grocery,127.77
341283058448499,shopping,2.61
6011860238257910,misc,4.79
6011492816282597,gas_transport,66.0
676372984911,gas_transport,42.99
180042946491150,gas_transport,78.58
30487648872433,grocery,126.54
3502088871723054,grocery,40.9
4433091568498503,grocery,65.41
377234009633447,gas_transport,46.3
30273037698427,gas_transport,71.85
4334230547694630,grocery,133.94
4956828990005111019,misc,84.26
3501509250702469,grocery,61.4
6011999606625827,misc,2.85
6011999606625827,grocery,46.62
4481131401752,grocery,45.92
2305336922781618,gas_transport,57.69
676372984911,gas_transport,36.64
213126662687660,grocery,76.9
3514865930894695,home,26.87
3577578023716568,kids_pets,1.83
3514865930894695,health_fitness,3.13
213178850083780,food_dining,68.51
571365235126,shopping,4.42
2235613922823698,health_fitness,23.79
3568736585751727,kids_pets,55.08
3598215285024754,entertainment,16.82
4265776278887457,personal_care,55.74
2720433095629877,home,12.72
4512828414983801773,shopping,1.22
4509142395811241,entertainment,91.98
4707867759656333,kids_pets,81.24
4149238353975790,kids_pets,53.71
213112402583773,entertainment,20.13
213141712584544,shopping,99.91
213178850083780,health_fitness,76.86
4683520018489354,shopping,1.07
4512828414983801773,personal_care,5.89
378006354724784,kids_pets,45.41
630423337322,food_dining,44.22
630423337322,personal_care,16.14
30487648872433,entertainment,8.4
4707867759656333,kids_pets,6.63
6011492816282597,entertainment,145.76
6534628260579800,shopping,2.0
6011492816282597,food_dining,28.31
3518234918950662,kids_pets,24.7
630423337322,shopping,6.46
30404291151692,travel,1.9
6011860238257910,health_fitness,50.99
3502088871723054,kids_pets,17.07
4956828990005111019,shopping,6.43
213126662687660,misc,29.27
2703186189652095,entertainment,43.72
2266735643685262,misc,2.75
4428780983793657331,personal_care,11.39
3518234918950662,kids_pets,97.07
4265776278887457,food_dining,45.38
349612764943496,home,67.98
4469777115158234880,health_fitness,22.82
4922710831011201,grocery,337.05
3514865930894695,home,28.13
30273037698427,kids_pets,67.58
349612764943496,travel,494.38
630423337322,food_dining,1.55
213178850083780,home,91.47
3565423334076143,health_fitness,11.74
4922710831011201,shopping,711.66
4707867759656333,home,2.58
571365235126,kids_pets,94.62
2266735643685262,entertainment,1.52
4334230547694630,personal_care,165.48
6511349151405438,entertainment,102.89
30561214688470,food_dining,9.15
6593250708747804,kids_pets,86.99
4225990116481262579,kids_pets,21.57
2235613922823698,misc,95.19
6011860238257910,home,8.52
6011893664860915,entertainment,132.77
3518234918950662,entertainment,36.21
213126662687660,health_fitness,96.97
2720433095629877,shopping,7.1
2266735643685262,misc,239.64
3553629419254918,personal_care,11.35
3502088871723054,personal_care,87.58
630423337322,shopping,6.64
630441765090,kids_pets,35.8
2720433095629877,food_dining,2.11
349612764943496,entertainment,75.2
4707867759656333,kids_pets,43.64
180048185037117,personal_care,53.65
3518758680062249,misc,12.65
3565423334076143,kids_pets,37.9
30074693890476,home,143.32
676372984911,personal_care,24.9
4956828990005111019,food_dining,3.34
4789911625179723,shopping,193.1
30404291151692,personal_care,6.62
3598215285024754,kids_pets,15.22
377234009633447,entertainment,65.87
3547560454237873,food_dining,87.8
377234009633447,health_fitness,89.33
4922710831011201,misc,707.5
2712209726293386,food_dining,76.8
2720830304681674,shopping,3.99
213193596103206,travel,450.6
30487648872433,food_dining,61.29
2712209726293386,food_dining,52.93
2720433095629877,shopping,7.3
4922710831011201,travel,4.5
4642255475285942,shopping,1.61
2348245054386329,kids_pets,61.9
4423489490781412,home,41.94
3577578023716568,food_dining,65.61
30074693890476,home,29.57
3598215285024754,shopping,9.0
213193596103206,personal_care,66.51
3518234918950662,food_dining,20.93
3553629419254918,health_fitness,68.52
4683520018489354,personal_care,15.47
2356276337669917,shopping,1.95
5456776410929288,home,1.37
4334230547694630,shopping,8.64
2348245054386329,shopping,111.86
676372984911,gas_transport,42.35
3534093764340240,shopping,5.72
3525668150756629,grocery,50.57
4423489490781412,shopping,2.69
3501509250702469,grocery,34.42
2305336922781618,shopping,6.65
2348245054386329,misc,26.23
630412733309,misc,69.31
6534628260579800,gas_transport,55.72
30074693890476,misc,43.15
3583793405872580,gas_transport,70.01
4922710831011201,grocery,316.93
4198470814557,gas_transport,63.6
4423489490781412,shopping,277.4
4922710831011201,grocery,327.68
4225990116481262579,gas_transport,57.75
180042946491150,grocery,23.45
2248735346244816,grocery,133.72
571465035400,gas_transport,74.8
213178850083780,shopping,132.09
180042946491150,gas_transport,72.49
30273037698427,grocery,74.93
4789911625179723,gas_transport,56.79
3525668150756629,shopping,126.27
213112402583773,grocery,118.99
38859492057661,gas_transport,64.26
4481131401752,misc,11.32
4716561796955522,grocery,108.62
2703186189652095,grocery,196.25
4198470814557,gas_transport,43.93
4683520018489354,grocery,45.84
4687263141103,misc,190.85
4149238353975790,misc,104.71
3553629419254918,gas_transport,57.91
3565423334076143,gas_transport,52.64
6011999606625827,grocery,92.82
4512828414983801773,gas_transport,53.52
4428780983793657331,entertainment,15.61
213112402583773,grocery,104.45
213112402583773,grocery,93.06
6011492816282597,gas_transport,89.32
4110266553600176127,grocery,52.08
213193596103206,shopping,102.68
2703186189652095,misc,77.89
4981132848794,shopping,1.41
213141712584544,misc,2.03
6511349151405438,shopping,6.66
3518758680062249,grocery,70.36
2248735346244816,gas_transport,55.48
4642255475285942,misc,8.39
3565423334076143,gas_transport,72.3
676372984911,gas_transport,82.19
377234009633447,entertainment,3.75
2305336922781618,grocery,149.95
5456776410929288,shopping,6.04
3534093764340240,misc,1.16
4512828414983801773,grocery,125.16
4225990116481262579,grocery,112.59
6011860238257910,gas_transport,75.62
630441765090,shopping,9.21
639046421587,personal_care,74.92
30273037698427,misc,155.05
4512828414983801773,misc,71.6
4509142395811241,personal_care,86.35
180042946491150,entertainment,207.21
2712209726293386,food_dining,81.2
4642255475285942,shopping,3.02
639046421587,personal_care,70.53
4198470814557,food_dining,2.96
213126662687660,kids_pets,8.07
213193596103206,entertainment,75.27
4469777115158234880,entertainment,3.19
180067784565096,personal_care,46.77
3553629419254918,food_dining,5.69
4683520018489354,home,115.86
676372984911,home,7.61
3553629419254918,shopping,1.17
630423337322,personal_care,51.21
213126662687660,shopping,3.39
2356276337669917,misc,1.23
2703186189652095,personal_care,9.08
4512828414983801773,kids_pets,13.61
180048185037117,personal_care,55.39
213112402583773,home,14.89
4512828414983801773,personal_care,20.04
30074693890476,home,45.2
3501509250702469,kids_pets,44.72
4642255475285942,shopping,7.12
213193596103206,entertainment,67.95
6011492816282597,food_dining,22.4
5559857416065248,home,64.82
6011893664860915,food_dining,34.06
377234009633447,personal_care,101.85
4922710831011201,misc,795.22
2712209726293386,home,97.58
374125201044065,health_fitness,1.38
4469777115158234880,home,35.48
3518758680062249,home,94.03
30273037698427,food_dining,7.23
4265776278887457,kids_pets,25.79
30074693890476,home,93.78
4922710831011201,shopping,1015.8
2305336922781618,home,2.13
3577578023716568,personal_care,127.86
6511349151405438,entertainment,12.42
571465035400,food_dining,58.28
3501509250702469,entertainment,96.79
374930071163758,misc,117.06
3502088871723054,home,32.94
2235613922823698,shopping,3.11
4512828414983801773,home,153.04
571465035400,home,75.58
2720433095629877,kids_pets,180.55
4716561796955522,health_fitness,67.29
6534628260579800,personal_care,2.09
38859492057661,health_fitness,10.16
676372984911,travel,5.0
30074693890476,shopping,37.32
4642255475285942,misc,823.39
2235613922823698,shopping,3.43
374125201044065,home,68.93
4956828990005111019,health_fitness,66.03
3518758680062249,entertainment,69.55
6534628260579800,personal_care,4.06
4956828990005111019,shopping,5.67
180067784565096,health_fitness,138.18
374930071163758,home,66.3
2712209726293386,shopping,22.92
4716561796955522,shopping,8.44
4956828990005111019,misc,8.19
375534208663984,entertainment,77.35
3558881852140592,kids_pets,49.74
4767265376804500,entertainment,17.25
3568736585751727,food_dining,54.0
213178850083780,kids_pets,46.64
3598215285024754,shopping,1426.3
2720433095629877,misc,307.5
6011893664860915,shopping,4.62
4149238353975790,home,66.44
2266735643685262,entertainment,18.03
2266735643685262,food_dining,56.4
375534208663984,kids_pets,48.04
3598215285024754,shopping,5.92
676372984911,shopping,5.05
2720830304681674,personal_care,77.88
571465035400,health_fitness,78.55
2235613922823698,shopping,2.45
3502088871723054,kids_pets,74.74
6011360759745864,personal_care,41.44
4716561796955522,personal_care,31.55
374125201044065,food_dining,51.82
2703186189652095,entertainment,94.92
213126662687660,shopping,3.68
3598215285024754,home,13.38
6534628260579800,entertainment,93.1
4707867759656333,health_fitness,127.65
4716561796955522,food_dining,4.38
3547560454237873,home,28.86
4423489490781412,home,58.09
6011860238257910,personal_care,41.28
213193596103206,home,75.56
3598215285024754,home,131.9
2703186189652095,shopping,33.3
4469777115158234880,shopping,1545.65
4981132848794,home,47.93
4981132848794,kids_pets,10.64
180042946491150,travel,6.45
676372984911,kids_pets,18.87
4512828414983801773,health_fitness,30.4
4922710831011201,misc,722.18
5456776410929288,home,23.42
4922710831011201,shopping,898.81
2712209726293386,kids_pets,102.77
4922710831011201,shopping,1001.63
676372984911,home,144.1
4509142395811241,home,10.39
6534628260579800,shopping,6.93
571465035400,food_dining,57.62
5456776410929288,food_dining,7.4
4642255475285942,misc,6.93
4707867759656333,travel,5.44
630423337322,shopping,3.15
377234009633447,home,7.96
4512828414983801773,shopping,1.81
